Timestamp,Class,Confidence Score,FPS,Error,Delta Error
58,track,"tensor([0.9279], device='cuda:0')",3.29,16.01,-13.04
58,track,"tensor([0.9304], device='cuda:0')",3.05,21.39,5.38
59,track,"tensor([0.9439], device='cuda:0')",3.28,8.98,-12.41
59,track,"tensor([0.9437], device='cuda:0')",2.63,12.13,3.15
59,track,"tensor([0.9435], device='cuda:0')",3.64,-3.41,-15.54
00,track,"tensor([0.9374], device='cuda:0')",4.00,-10.22,-6.81
00,track,"tensor([0.9462], device='cuda:0')",3.42,-15.39,-5.17
00,track,"tensor([0.9462], device='cuda:0')",3.92,-16.53,-1.14
00,track,"tensor([0.9285], device='cuda:0')",3.31,-20.47,-3.94
01,track,"tensor([0.9191], device='cuda:0')",3.25,-23.89,-3.42
01,track,"tensor([0.9293], device='cuda:0')",3.08,-26.28,-2.39
01,track,"tensor([0.9205], device='cuda:0')",3.64,-24.54,1.74
02,track,"tensor([0.9335], device='cuda:0')",3.02,-24.01,0.53
02,track,"tensor([0.9361], device='cuda:0')",3.58,-23.71,0.3
02,track,"tensor([0.9405], device='cuda:0')",3.39,-18.87,4.84
03,track,"tensor([0.9579], device='cuda:0')",2.60,-18.58,0.29
03,track,"tensor([0.9234], device='cuda:0')",3.86,-16.64,1.94
03,track,"tensor([0.9213], device='cuda:0')",3.35,-10.12,6.52
03,track,"tensor([0.9493], device='cuda:0')",4.68,-8.44,1.68
04,track,"tensor([0.9466], device='cuda:0')",3.95,-0.94,7.5
04,track,"tensor([0.9502], device='cuda:0')",2.92,-3.99,-3.05
04,track,"tensor([0.9540], device='cuda:0')",3.50,-4.13,-0.14
05,track,"tensor([0.9430], device='cuda:0')",4.24,-2.42,1.71
05,track,"tensor([0.9408], device='cuda:0')",2.95,-2.71,-0.29
05,track,"tensor([0.9442], device='cuda:0')",3.54,-2.87,-0.16
05,track,"tensor([0.9498], device='cuda:0')",3.01,-4.83,-1.96
06,track,"tensor([0.9462], device='cuda:0')",3.49,-5.45,-0.62
06,track,"tensor([0.9480], device='cuda:0')",4.04,-5.37,0.08
06,track,"tensor([0.9367], device='cuda:0')",3.47,-6.1,-0.73
07,track,"tensor([0.9486], device='cuda:0')",3.31,-6.62,-0.52
07,track,"tensor([0.9510], device='cuda:0')",3.56,-7.27,-0.65
07,track,"tensor([0.9461], device='cuda:0')",3.87,-8.16,-0.89
07,track,"tensor([0.9515], device='cuda:0')",3.55,-9.9,-1.74
08,track,"tensor([0.9532], device='cuda:0')",4.07,-10.5,-0.6
08,track,"tensor([0.9534], device='cuda:0')",2.93,-11.37,-0.87
08,track,"tensor([0.9573], device='cuda:0')",3.51,-11.98,-0.61
09,track,"tensor([0.9534], device='cuda:0')",3.15,-13.39,-1.41
09,track,"tensor([0.9517], device='cuda:0')",3.76,-13.42,-0.03
09,track,"tensor([0.9559], device='cuda:0')",3.24,-13.21,0.21
09,track,"tensor([0.9546], device='cuda:0')",3.36,-13.68,-0.47
10,track,"tensor([0.9541], device='cuda:0')",3.05,-7.37,6.31
10,track,"tensor([0.9570], device='cuda:0')",3.77,-4.47,2.9
10,track,"tensor([0.9498], device='cuda:0')",3.46,-2.22,2.25
11,track,"tensor([0.9516], device='cuda:0')",4.09,-0.16,2.06
11,track,"tensor([0.9490], device='cuda:0')",3.97,1.61,1.77
11,track,"tensor([0.9474], device='cuda:0')",3.65,3.71,2.1
11,track,"tensor([0.9487], device='cuda:0')",3.07,3.25,-0.46
12,track,"tensor([0.9473], device='cuda:0')",3.57,3.04,-0.21
12,track,"tensor([0.9454], device='cuda:0')",3.33,3.19,0.15
12,track,"tensor([0.9474], device='cuda:0')",4.17,4.2,1.01
